Date,Open,High,Low,Close,Volume,OpenInt
2006-06-07,35.669,36.293,35.559,35.938,182633,0
2006-06-08,35.938,36.603,35.703,36.517,314212,0
2006-06-09,36.51,36.643,36.169,36.486,164280,0
2006-06-12,36.502,36.556,36.03,36.194,210939,0
2006-06-13,36.27,36.587,34.94,35.072,328949,0
2006-06-14,34.816,35.364,34.661,35.217,242997,0
2006-06-15,35.295,36.131,35.273,35.884,212879,0
2006-06-16,35.889,36.262,35.208,35.457,445276,0
2006-06-19,35.504,35.52,34.853,35.364,205899,0
2006-06-20,35.427,35.753,35.187,35.395,204732,0
2006-06-21,35.511,35.767,35.326,35.358,177077,0
2006-06-22,35.28,35.381,34.816,35.295,141792,0
2006-06-23,35.156,35.69,34.924,35.28,112450,0
2006-06-26,35.326,35.575,35.14,35.358,85955,0
2006-06-27,35.273,35.696,34.853,35.109,176816,0
2006-06-28,35.319,35.575,35.319,35.481,199567,0
2006-06-29,35.587,36.047,35.488,35.975,378066,0
2006-06-30,36.052,36.643,35.744,36.634,301291,0
2006-07-03,36.596,36.643,36.286,36.603,135585,0
2006-07-05,36.526,36.75,36.302,36.479,194264,0
2006-07-06,36.479,36.867,36.479,36.743,208616,0
2006-07-07,36.75,36.882,36.326,36.486,458587,0
2006-07-10,36.486,36.99,36.362,36.935,272850,0
2006-07-11,36.827,37.539,36.656,37.485,263678,0
2006-07-12,37.407,37.694,36.896,36.926,253726,0
2006-07-13,36.851,37.261,36.556,36.811,279705,0
2006-07-14,36.743,37.068,36.286,36.843,292112,0
2006-07-17,36.78,37.121,36.556,36.765,116327,0
2006-07-18,36.802,37.135,36.596,36.982,240538,0
2006-07-19,37.068,37.995,37.043,37.871,167643,0
2006-07-20,37.864,37.864,37.399,37.578,293531,0
2006-07-21,37.578,37.951,37.375,37.732,191811,0
2006-07-24,37.833,38.141,37.795,37.924,135976,0
2006-07-25,37.924,37.924,36.882,37.347,715802,0
2006-07-26,37.347,37.47,37.027,37.143,194264,0
2006-07-27,37.189,37.485,36.874,37.143,185738,0
2006-07-28,36.96,37.564,36.827,37.083,212620,0
2006-07-31,36.773,36.874,35.744,35.915,464664,0
2006-08-01,35.82,36.765,35.744,36.224,391121,0
2006-08-02,36.362,36.533,35.784,35.884,275439,0
2006-08-03,35.744,36.217,35.744,35.983,238213,0
2006-08-04,36.362,36.439,35.674,36.016,219730,0
2006-08-07,35.82,36.038,34.969,35.017,217275,0
2006-08-08,35.093,35.767,35.093,35.156,288619,0
2006-08-09,35.319,35.41,34.73,34.839,237310,0
2006-08-10,34.722,35.173,34.685,34.893,196980,0
2006-08-11,34.645,34.745,34.235,34.561,253726,0
2006-08-14,34.715,35.194,34.661,34.932,239503,0
2006-08-15,35.319,35.703,35.124,35.669,278926,0
2006-08-16,35.744,35.792,35.364,35.511,232656,0
2006-08-17,35.436,35.52,35.165,35.295,179790,0
2006-08-18,35.364,35.652,35.124,35.595,74321,0
2006-08-21,35.488,35.775,35.449,35.559,116069,0
2006-08-22,35.488,36.007,35.403,35.915,149159,0
2006-08-23,35.945,36.131,35.225,35.349,277764,0
2006-08-24,35.427,35.587,35.202,35.349,154717,0
2006-08-25,35.28,35.744,35.217,35.388,176947,0
2006-08-28,35.472,35.99,35.472,35.876,208228,0
2006-08-29,35.876,35.898,35.534,35.703,284618,0
2006-08-30,35.767,35.898,35.587,35.603,156525,0
2006-08-31,35.612,35.767,35.511,35.542,207066,0
2006-09-01,35.551,35.812,35.551,35.627,156399,0
2006-09-05,35.635,35.635,35.388,35.419,180692,0
2006-09-06,35.225,35.256,34.816,34.824,227870,0
2006-09-07,34.645,34.777,34.305,34.365,250492,0
2006-09-08,34.359,34.613,34.273,34.591,136363,0
